Dataset,Accuracy,Precision,Recall,F1-Score
SimpsonsMNIST,0.77375,0.7899930674347952,0.77375,0.7728983806216485
BreastMNIST,0.8141025641025641,0.8055721195256079,0.8141025641025641,0.7996338962522538
